carrier,left_slot,right_slot,is_target_seam,global_row_count,slot_presence_count,dominant_value_pair,is_049_target_carrier,target_incidence_class,is_slot14_incident,selected_by_global_ge_180,selected_by_slot_presence_ge_3,rank_pair_local_endpoints,weak_at_endpoint_count,top3_at_endpoint_count,role_pair_050_quarantined,touches_slot14,touches_return_hub_050_quarantined,touches_anchor_052_quarantined,joins_slot14_to_return_hub_quarantined,endpoints_are_180_cut_slots_053_quarantined,is_common_cut_weak_053_quarantined,is_between_cut_slots_053_quarantined,promotion_status
slot_pair_00_01_boundary_carrier,00,01,false,251,7,8:1,false,,false,true,true,4:4,2,0,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_00_04_boundary_carrier,00,04,false,309,6,6:1,false,,false,true,true,3:4,1,1,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_00_05_boundary_carrier,00,05,false,327,7,6:1,true,anchor_spoke,false,true,true,2:2,0,2,anchor|source_leaf,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_00_06_boundary_carrier,00,06,false,331,7,6:1,false,,false,true,true,1:1,0,2,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_01_02_boundary_carrier,01,02,false,336,7,9:1,false,,false,true,true,1:4,1,1,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_01_06_boundary_carrier,01,06,false,302,7,6:1,false,,false,true,true,2:2,0,2,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_01_07_boundary_carrier,01,07,false,296,7,6:1,false,,false,true,true,2:3,0,2,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_02_03_boundary_carrier,02,03,false,384,7,6:1,false,,false,true,true,1:1,0,2,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_02_07_boundary_carrier,02,07,false,384,7,6:1,false,,false,true,true,1:2,0,2,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_02_08_boundary_carrier,02,08,false,384,7,6:1,true,anchor_spoke,false,true,true,1:3,0,2,anchor|source_leaf,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_03_04_boundary_carrier,03,04,false,343,6,8:1,false,,false,true,true,1:4,1,1,source_leaf|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_03_08_boundary_carrier,03,08,false,360,6,6:1,true,anchor_spoke,false,true,true,2:2,0,2,anchor|source_leaf,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_03_09_boundary_carrier,03,09,false,360,6,7:1,false,,false,true,true,1:3,0,2,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_04_05_boundary_carrier,04,05,false,330,6,6:1,true,anchor_spoke,false,true,true,1:2,0,2,anchor|source_leaf,false,false,true,false,false,false,false,seam_feature_profile_not_source_law
slot_pair_04_09_boundary_carrier,04,09,false,330,6,7:1,false,,false,true,true,2:3,0,2,omitted|source_leaf,false,false,false,false,false,false,false,seam_feature_profile_not_source_law
